population,line_id,type,unique_id,nano,qubit_measured,qubit_vol,qubit_actual,approx_ng,ul.for.500.ng,max.,ul.water.for.50.ul,approx_final_conc,approx_vol_100,cell_name,plate_num,row_name,col_name
MC,6,L,MC-L6-4,NA,474.0,2,47.4,948.0,10.54852321,no,39.45147679,10.0,10.0,1_C3,1,C,3
AFC,12,L,AFC_F1_L12-4,171.85,238.0,2,23.8,476.0,21.00840336,no,28.99159664,10.0,10.0,1_C4,1,C,4
AFC,6,F1,AFC-6-2-F1,287.26,261.0,2,26.1,522.0,19.15708812,no,30.84291188,10.0,10.0,1_C5,1,C,5
AFC,42,F1,AFC-42-3-F1,418.49,500.0,2,50.0,1e3,10.0,no,40,10.0,10.0,1_C6,1,C,6
MC,17,F1,MC-17-2-F1,209.36,353.0,2,35.3,706.0,14.16430595,no,35.83569405,10.0,10.0,1_C7,1,C,7
AFC,47,L,AFC-L47-4,270.66,337.0,2,33.7,674.0,14.83679525,no,35.16320475,10.0,10.0,1_C8,1,C,8
MC,21,M,MC_M21_F1_feb21,60.19,101.0,2,10.1,202.0,49.5049505,yes,determine,4.04,24.75247525,1_C9,1,C,9
MC,6,L,MC-L6-3,NA,351.0,2,35.1,702.0,14.24501425,no,35.75498575,10.0,10.0,1_C10,1,C,10
AFC,60,L,AFC-L60-2,363.86,398.0,2,39.8,796.0,12.56281407,no,37.43718593,10.0,10.0,1_C11,1,C,11
AFC,57,L,AFC-L57-4,341.77,434.0,2,43.4,868.0,11.52073733,no,38.47926267,10.0,10.0,1_C12,1,C,12
MC,20,F,MC_F1_F20,203.64,188.0,2,18.8,376.0,26.59574468,yes,determine,7.52,13.29787234,1_D1,1,D,1
MC,9,F,MC_F9_F1_feb21,314.64,460.0,2,46.0,920.0,10.86956522,no,39.13043478,10.0,10.0,1_D2,1,D,2
AFC,43,F1,AFC-43-1-F1,144.63,266.0,2,26.6,532.0,18.79699248,no,31.20300752,10.0,10.0,1_D3,1,D,3
AFC,46,F1,AFC-46-1-F1,396.48,483.0,2,48.3,966.0,10.35196687,no,39.64803313,10.0,10.0,1_D4,1,D,4
AFC,50,F1,AFC-50-3-F1,325.39,491.0,2,49.1,982.0,10.18329939,no,39.81670061,10.0,10.0,1_D5,1,D,5
AFC,55,F1,AFC-55-3-F1,356.865,237.0,1,47.4,948.0,10.54852321,no,39.45147679,10.0,10.0,1_D6,1,D,6
MC,25,F,MC_F1_F25,563.88,411.0,2,41.1,822.0,12.16545012,no,37.83454988,10.0,10.0,1_D7,1,D,7
AFC,56,F1,AFC-56-4-F1,394.55,493.0,2,49.3,986.0,10.14198783,no,39.85801217,10.0,10.0,1_D8,1,D,8
AFC,48,F1,AFC-48-4-F1,556.78,580.0,2,58.0,1160.0,8.620689655,no,41.37931034,10.0,10.0,1_D9,1,D,9
MC,7,M,MC-M07-F1-feb16,174.99,305.0,2,30.5,610.0,16.39344262,no,33.60655738,10.0,10.0,1_D10,1,D,10
AFC,42,F1,AFC-42-4-F1,474.43,490.0,2,49.0,980.0,10.20408163,no,39.79591837,10.0,10.0,1_D11,1,D,11
MV,225,L,MV_F1_L-11,327.28,253.0,2,25.3,506.0,19.76284585,no,30.23715415,10.0,10.0,1_D12,1,D,12
AFC,64,F1,AFC-64-3-F1,528.07,409.0,2,40.9,818.0,12.22493888,no,37.77506112,10.0,10.0,1_E1,1,E,1
MC,9,F1,MC_F1_9-3,254.21,356.0,2,35.6,712.0,14.04494382,no,35.95505618,10.0,10.0,1_E2,1,E,2
AFC,46,F1,AFC-46-2-F1,NA,436.0,2,43.6,872.0,11.46788991,no,38.53211009,10.0,10.0,1_E3,1,E,3
AFC,70,F1,AFC-70-2-F1,629.79,NA,1,59.7,1194.0,8.37520938,no,41.62479062,10.0,10.0,1_E4,1,E,4
FL,14,L,FL-L11,339.7,204.0,2,20.4,408.0,24.50980392,no,25.49019608,10.0,10.0,1_E5,1,E,5
MC,13,F1,MC-13-4-F1,405.15,181.0,1,36.2,724.0,13.8121547,no,36.1878453,10.0,10.0,1_E6,1,E,6
AFC,19,L,AFC_F1_L19-2,355.62,458.0,2,45.8,916.0,10.91703057,no,39.08296943,10.0,10.0,1_E7,1,E,7
AFC,13,F1,AFC-13-4-F1,383.63,353.0,2,35.3,706.0,14.16430595,no,35.83569405,10.0,10.0,1_E8,1,E,8
AFC,47,F1,AFC-47-3-F1,485.73,424.0,2,42.4,848.0,11.79245283,no,38.20754717,10.0,10.0,1_E9,1,E,9
FL,14,L,FL-L10,197.33,184.0,2,18.4,368.0,27.17391304,yes,determine,7.36,13.58695652,1_E10,1,E,10
AFC,5,F1,AFC-5-2-F1,192.67,234.0,2,23.4,468.0,21.36752137,no,28.63247863,10.0,10.0,1_E11,1,E,11
AFC,27,F1,AFC-27-4-F1,243.02,263.0,2,26.3,526.0,19.01140684,no,30.98859316,10.0,10.0,1_E12,1,E,12
MV,225,L,MV-L5,279.74,304.0,2,30.4,608.0,16.44736842,no,33.55263158,10.0,10.0,1_F1,1,F,1
MC,17,F1,MC-17-5-F1,NA,50.2,2,5.02,100.4,99.60159363,yes,determine,2.008,49.80079681,1_F2,1,F,2
AFC,70,F1,AFC-70-3-F1,723.88,NA,1,79.3,1586.0,6.30517024,no,43.69482976,10.0,10.0,1_F3,1,F,3
