population female_id sub_id generation source_box sex unique_id tbd ng_ul r260.280 r260.230
AFC 12 NA wild C F AFC-12-NA-wild TRUE NA NA NA
AFC 14 NA wild C F AFC-14-NA-wild TRUE NA NA NA
AFC 19 NA wild C F AFC-19-NA-wild TRUE NA NA NA
AFC 24 NA wild C F AFC-24-NA-wild TRUE NA NA NA
AFC 30 NA wild C F AFC-30-NA-wild TRUE NA NA NA
AFC 29 NA wild C F AFC-29-NA-wild TRUE NA NA NA
MC 6 NA NA NA F MC-6-NA-NA TRUE NA NA NA
MC 9 NA NA NA F MC-9-NA-NA TRUE NA NA NA
MC 13 NA NA NA F MC-13-NA-NA TRUE NA NA NA
MC 14 NA NA NA F MC-14-NA-NA TRUE NA NA NA
MC 15 NA NA NA F MC-15-NA-NA TRUE NA NA NA
MC 17 NA NA NA F MC-17-NA-NA TRUE NA NA NA
MC 20 NA NA NA F MC-20-NA-NA TRUE NA NA NA
MC 27 NA NA NA F MC-27-NA-NA TRUE NA NA NA
MC NA NA NA NA M MC-NA-NA-NA TRUE NA NA NA
