population,line_id,type,unique_id,nano,qubit_measured,qubit_vol,qubit_actual,ul for 200 ng,ul water for 50 ul
MV,225,L,MV-L4,263.75,324,2,32.4,6.17,43.83
MV,225,L,MV-L5,279.74,304,2,30.4,6.58,43.42
MV,225,L,MV_F1_L-11,327.28,253,2,25.3,7.91,42.09
MV,225,L,MV-L10,261.71,250,2,25,8,42
VY,VY,L,VY-L3,407.34,386,2,38.6,5.18,44.82
VY,VY,L,VY-L1,390.04,313,2,31.3,6.39,43.61
VY,VY,L,VY-L7,340.79,312,2,31.2,6.41,43.59
VY,VY,L,VY-L11,332.02,292,2,29.2,6.85,43.15
VY,VY,L,VY-L10,325.05,257,2,25.7,7.78,42.22
VY,VY,L,VY-L6,191.17,156,2,15.6,12.82,37.18
