sample_id,date,ng_ul,a260,a280,r260.280,r260.230,a340_raw,extraction_date
AFC-71-1-F1,11/29/2016,481.36,9.627,4.512,2.13,3.23,0.24,11-Nov
MC-14-1-F1,11/29/2016,449.74,8.995,3.927,2.29,2.45,0.087,22-Nov
MC-6-2-F1,11/29/2016,386.41,7.728,4.058,1.9,0.98,1.963,22-Nov
AFC-64-1-F1,11/29/2016,336.67,6.733,3.165,2.13,3.17,0.33,11-Nov
AFC-42-1-F1,11/29/2016,317.25,6.345,2.981,2.13,2.92,0.368,11-Nov
AFC-50-1-F1,11/29/2016,294.06,5.881,2.795,2.1,3.09,0.367,11-Nov
AFC-7-1-F1,11/29/2016,272.37,5.447,2.848,1.91,2.94,4.285,11-Nov
AFC-55-1-F1,11/29/2016,258.49,5.17,2.67,1.94,4.2,4.384,11-Nov
AFC-28-1-F1,11/29/2016,229.91,4.598,2.235,2.06,5.3,0.304,11-Nov
MC-17-2-F1,11/29/2016,209.36,4.187,1.939,2.16,1.94,0.161,22-Nov
MC-13-1-F1,11/29/2016,204.44,4.089,1.861,2.2,1.79,0.271,22-Nov
MC-15-2-F1,11/29/2016,203.21,4.064,1.841,2.21,1.73,0.128,22-Nov
MC-13-2-F1,11/29/2016,176.03,3.521,1.564,2.25,1.98,0.088,22-Nov
MC-15-1-F1,11/29/2016,170.95,3.419,1.565,2.19,1.98,0.174,22-Nov
AFC-66-1-F1,11/29/2016,169.38,3.388,1.703,1.99,2.67,0.465,11-Nov
AFC-68-1-F1,11/29/2016,154.33,3.087,1.429,2.16,-475.98,-0.007,11-Nov
MC-20-2-F1,11/29/2016,72.68,1.454,0.645,2.25,2.17,0.044,22-Nov
AFC-67-1-F1,11/29/2016,61.4,1.228,0.623,1.97,-1.54,0.01,11-Nov
MC-14-2-F1,11/29/2016,31.91,0.638,0.303,2.11,0.94,0.063,22-Nov
MC-20-1-F1,11/29/2016,31.01,0.62,0.456,1.36,1.22,2.344,22-Nov
MC-17-1-F1,11/29/2016,26.57,0.531,0.257,2.07,1.43,0.049,22-Nov
MC-20-1-F1,11/29/2016,25.88,0.518,0.22,2.35,0.46,0.024,22-Nov
MC-20-1-F1,11/29/2016,22.93,0.459,0.206,2.22,0.71,0.001,22-Nov
MC-9-1-F1,11/29/2016,20.4,0.408,0.215,1.9,2.11,0.112,22-Nov
MC-27-2-F1,11/29/2016,17.74,0.355,0.178,1.99,0.76,0.036,22-Nov
MC-27-1-F1,11/29/2016,16.42,0.328,0.149,2.21,0.96,0.027,22-Nov
AFC-64-3-F1,12/6/2016,528.07,10.561,5.27,2,1.73,1.157,06-Dec
AFC-7-1-F1,12/6/2016,488.49,9.77,4.494,2.17,2.37,0.174,18-Oct
AFC-15-4-F1,12/6/2016,466.72,9.334,4.475,2.09,2.06,0.64,06-Dec
AFC-63-4-F1,12/6/2016,437.67,8.753,4.01,2.18,2.95,0.159,06-Dec
AFC-64-4-F1,12/6/2016,418.13,8.363,3.695,2.26,1.77,0.148,06-Dec
