population,line_id,type,unique_id,nano,qubit_measured,qubit_vol,qubit_actual,approx_ng,ul for 500 ng,max?,ul water for 50 ul,approx_final_conc,approx_vol_100
MC,6,L,MC-L6-2,NA,292,2,29.2,584,17.12328767,no,32.87671233,10,10
VY,VY,L,VY-L11,332.02,292,2,29.2,584,17.12328767,no,32.87671233,10,10
AFC,19,F1,AFC-19-3-F1,487.72,293,2,29.3,586,17.06484642,no,32.93515358,10,10
AFC,30,F1,AFC-30-1-F1,379.47,297,2,29.7,594,16.83501684,no,33.16498316,10,10
FL,14,L,FL-L6,283.78,303,2,30.3,606,16.50165017,no,33.49834983,10,10
AFC,8,F1,AFC-8-2-F1,354.06,304,2,30.4,608,16.44736842,no,33.55263158,10,10
MV,225,L,MV-L5,279.74,304,2,30.4,608,16.44736842,no,33.55263158,10,10
MC,7,M,MC-M07-F1-feb16,174.99,305,2,30.5,610,16.39344262,no,33.60655738,10,10
AFC,27,F1,AFC-27-3-F1,284.54,306,2,30.6,612,16.33986928,no,33.66013072,10,10
AFC,1,F1,AFC-1-4-F1,421.42,307,2,30.7,614,16.28664495,no,33.71335505,10,10
AFC,5,F1,AFC-5-4-F1,401.69,311,2,31.1,622,16.07717042,no,33.92282958,10,10
MC,27,L,MC-L27-3,209.04,312,2,31.2,624,16.02564103,no,33.97435897,10,10
VY,VY,L,VY-L7,340.79,312,2,31.2,624,16.02564103,no,33.97435897,10,10
AFC,49,L,AFC-L49-3,199.9,313,2,31.3,626,15.97444089,no,34.02555911,10,10
VY,VY,L,VY-L1,390.04,313,2,31.3,626,15.97444089,no,34.02555911,10,10
AFC,7,F1,AFC-7-1-F1,380.43,314,2,31.4,628,15.92356688,no,34.07643312,10,10
AFC,8,F1,AFC-8-3-F1,385.91,320,2,32,640,15.625,no,34.375,10,10
MC,6,F,MC_F6_F1_feb21,243.96,322,2,32.2,644,15.52795031,no,34.47204969,10,10
AFC,15,F1,AFC-15-1-F1,300.36,324,2,32.4,648,15.43209877,no,34.56790123,10,10
MV,225,L,MV-L4,263.75,324,2,32.4,648,15.43209877,no,34.56790123,10,10
AFC,56,L,AFC-L56-3,270.64,329,2,32.9,658,15.19756839,no,34.80243161,10,10
MC,26,F,MC_F1_F26,481.38,333,2,33.3,666,15.01501502,no,34.98498498,10,10
AFC,47,L,AFC-L47-4,270.66,337,2,33.7,674,14.83679525,no,35.16320475,10,10
FL,14,L,FL-L2,287,337,2,33.7,674,14.83679525,no,35.16320475,10,10
AFC,19,F1,AFC-19-4-F1,344.15,343,2,34.3,686,14.57725948,no,35.42274052,10,10
MC,20,L,MC-L20-2,288.91,343,2,34.3,686,14.57725948,no,35.42274052,10,10
AFC,2,F1,AFC-2-4-F1,323.93,348,2,34.8,696,14.36781609,no,35.63218391,10,10
AFC,48,F1,AFC-48-2-F1,255.39,348,2,34.8,696,14.36781609,no,35.63218391,10,10
AFC,56,F1,AFC-56-1-F1,298.22,349,2,34.9,698,14.32664756,no,35.67335244,10,10
MC,6,L,MC-L6-3,NA,351,2,35.1,702,14.24501425,no,35.75498575,10,10
AFC,13,F1,AFC-13-4-F1,383.63,353,2,35.3,706,14.16430595,no,35.83569405,10,10
AFC,49,F1,AFC-49-4-F1,199.565,353,2,35.3,706,14.16430595,no,35.83569405,10,10
MC,17,F1,MC-17-2-F1,209.36,353,2,35.3,706,14.16430595,no,35.83569405,10,10
AFC,48,L,AFC_F1_L48-1,244.06,355,2,35.5,710,14.08450704,no,35.91549296,10,10
MC,11,F,MC_F11_F1_feb21,237.38,355,2,35.5,710,14.08450704,no,35.91549296,10,10
MC,9,F1,MC_F1_9-3,254.21,356,2,35.6,712,14.04494382,no,35.95505618,10,10
AFC,49,F1,AFC-49-1-F1,243.065,357,2,35.7,714,14.00560224,no,35.99439776,10,10
FL,14,L,FL-L3,374.08,358,2,35.8,716,13.96648045,no,36.03351955,10,10
MV,225,L,MV_F1_L-2,534.52,358,2,35.8,716,13.96648045,no,36.03351955,10,10
AFC,24,F1,AFC-24-3-F1,277.93,360,2,36,720,13.88888889,no,36.11111111,10,10
AFC,48,L,AFC_F1_L48-3,286.59,361,2,36.1,722,13.85041551,no,36.14958449,10,10
MC,13,F1,MC-13-4-F1,405.15,181,1,36.2,724,13.8121547,no,36.1878453,10,10
AFC,18,F1,AFC-18-3-F1,411.99,370,2,37,740,13.51351351,no,36.48648649,10,10
