pop,line_id,type,unique_id,plate,col,row,ul_500ng,max.,water,qubit,~ng,q_post_raw,qubit_post_dig,ul_100ng,ul_water
MC,17,L,MC-17-L4,P2,4,G,16.6,no,33.4,30,600,29.6,5.92,16.9,33.1
AFC,30,L,AFC-L30-1,P2,4,H,12.59,no,37.41,39.7,794,14.6,2.92,34.2,15.8
AFC,57,F1,AFC-57-1-F1,P2,5,A,10.59,no,39.41,47.2,944,28.7,5.74,17.4,32.6
VY,VY,L,VY-L1,P2,5,B,15.97,no,34.03,31.3,626,348.5,69.7,1.4,48.6
MC,15,F1,MC-15-2-F1,P2,5,C,20.83,no,29.17,24,480,33,6.6,15.2,34.8
AFC,19,F1,AFC-19-3-F1,P2,5,D,17.06,no,32.94,29.3,586,75.8,15.16,6.6,43.4
AFC,59,F1,AFC-59-1-F1,P2,5,E,11.76,no,38.24,42.5,850,39.3,7.86,12.7,37.3
AFC,5,F1,AFC-5-4-F1,P2,5,F,16.08,no,33.92,31.1,622,80.8,16.16,6.2,43.8
MC,17,L,MC-17-L2,P2,5,G,16.6,no,33.4,30,600,36.7,7.34,13.6,36.4
AFC,19,L,AFC_F1_L19-4,P2,5,H,11.04,no,38.96,45.3,906,39.6,7.92,12.6,37.4
MC,14,F1,MC-14-4-F1,P2,6,A,9.73,no,40.27,51.4,1028,26.9,5.38,18.6,31.4
VY,VY,L,VY-L7,P2,6,B,16.03,no,33.97,31.2,624,40.6,8.12,12.3,37.7
MC,19,F,MC_F1_F19,P2,6,C,22.03,no,27.97,22.7,454,25.9,5.18,19.3,30.7
VY,VY,L,VY-L3,P2,6,D,12.95,no,37.05,38.6,772,48.8,9.76,10.2,39.8
MC,26,F,MC_F1_F26,P2,6,E,15.02,no,34.98,33.3,666,24.8,4.96,20.2,29.8
VY,VY,L,VY-L11,P2,6,F,17.12,no,32.88,29.2,584,28.1,5.62,17.8,32.2
AFC,66,F1,AFC-66-3-F1,P2,6,G,12.17,no,37.83,41.1,822,26.6,5.32,18.8,31.2
MC,4,F,MC_F4_F1,P2,6,H,10.35,no,39.65,48.3,966,37.9,7.58,13.2,36.8
MC,6,F1,MC_F1_6-5,P2,7,A,23.36,no,26.64,21.4,428,69,13.8,7.2,42.8
MC,18,F,MC_F18_F1,P2,7,B,24.88,no,25.12,20.1,402,28.4,5.68,17.6,32.4
AFC,49,F1,AFC-49-4-F1,P2,7,C,14.16,no,35.84,35.3,706,29.3,5.86,17.1,32.9
AFC,14,F1,AFC-14-1-F1,P2,7,D,9.09,no,40.91,55,1100,58.2,11.64,8.6,41.4
MC,14,L,MC-L14-1,P2,7,E,11.06,no,38.94,45.2,904,15.3,3.06,32.7,17.3
MV,225,L,MV_F1_L-2,P2,7,F,13.97,no,36.03,35.8,716,21.4,4.28,23.4,26.6
AFC,48,F1,AFC-48-2-F1,P2,7,G,14.37,no,35.63,34.8,696,23.4,4.68,21.4,28.6
MC,9,L,MC_F1_L9-3,P2,7,H,18.45,no,31.55,27.1,542,51.3,10.26,9.7,40.3
MC,8,F,MC_F8_F1,P2,8,A,10.8,no,39.2,46.3,926,43.6,8.72,11.5,38.5
AFC,30,F1,AFC-30-1-F1,P2,8,B,16.84,no,33.16,29.7,594,74.9,14.98,6.7,43.3
FL,14,L,FL-L3,P2,8,C,13.97,no,36.03,35.8,716,41.1,8.22,12.2,37.8
AFC,27,F1,AFC-27-3-F1,P2,8,D,16.34,no,33.66,30.6,612,48.8,9.76,10.2,39.8
MC,9,L,MC_F1_L9-1,P2,8,E,13.33,no,36.67,37.5,750,40.3,8.06,12.4,37.6
AFC,49,L,AFC-L49-3,P2,8,F,15.97,no,34.03,31.3,626,31.9,6.38,15.7,34.3
MV,225,L,MV-L4,P2,8,G,15.43,no,34.57,32.4,648,36.8,7.36,13.6,36.4
MC,6,L,MC-L6-2,P2,8,H,17.12,no,32.88,29.2,584,48.2,9.64,10.4,39.6
MC,20,L,MC-L20-3,P2,9,A,17.54,no,32.46,28.5,570,43.9,8.78,11.4,38.6
AFC,63,F1,AFC-63-1-F1,P2,9,B,17.92,no,32.08,27.9,558,32.2,6.44,15.5,34.5
AFC,67,F1,AFC-67-2-F1,P2,9,C,28.9,yes,det,17.3,346,79.4,15.88,6.3,43.7
MC,2,F,MC_F2_F1,P2,9,D,8.62,no,41.38,58,1160,61.7,12.34,8.1,41.9
AFC,48,L,AFC_F1_L48-1,P2,9,E,14.08,no,35.92,35.5,710,36.6,7.32,13.7,36.3
AFC,24,F1,AFC-24-4-F1,P2,9,F,21.1,no,28.9,23.7,474,33,6.6,15.2,34.8
AFC,49,L,AFC-L49-2,P2,9,G,27.17,yes,det,18.4,368,46.8,9.36,10.7,39.3
AFC,54,F1,AFC-54-2-F1,P2,9,H,10.53,no,39.47,47.5,950,41.7,8.34,12.0,38.0
AFC,71,F1,AFC-71-2-F1,P2,10,A,9.26,no,40.74,54,1080,109,21.8,4.6,45.4
MC,14,F,MC_F14_F1,P2,10,B,10.2,no,39.8,49,980,21.7,4.34,23.0,27.0
AFC,28,F1,AFC-28-2-F1,P2,10,C,13.4,no,36.6,37.3,746,44.6,8.92,11.2,38.8
AFC,30,F1,AFC-30-4-F1,P2,10,D,12.02,no,37.98,41.6,832,24.1,4.82,20.7,29.3
AFC,47,L,AFC-L47-2,P2,10,E,17.67,no,32.33,28.3,566,32.6,6.52,15.3,34.7
